Date,Day,IsPeak,IsHoliday,Orders,FTE,FTOff,RetailSupport,Day1,Day2,NormalSLA,PeakSLA,Processed Orders,PackingHC,PickingHC,TotalHC,MPRequired,WeekEnd
2025-10-19,Sunday,False,False,1355,10,2,9,677.5,677.5,0.0,677.5,0.0,0.0,0.0,0,0,2025-10-25
2025-10-20,Monday,False,False,1888,10,2,9,944.0,944.0,2954.5,944.0,2954.5,32.83,5.18,45,46,2025-10-25
2025-10-21,Tuesday,False,False,1398,10,2,9,699.0,699.0,2320.5,699.0,2320.5,25.78,4.07,36,37,2025-10-25
2025-10-22,Wednesday,False,False,1536,10,2,9,768.0,768.0,1467.0,768.0,1467.0,16.3,2.57,23,24,2025-10-25
2025-10-23,Thursday,False,False,992,10,2,9,496.0,496.0,1264.0,496.0,1264.0,14.04,2.22,20,21,2025-10-25
2025-10-24,Friday,False,False,926,10,2,9,463.0,463.0,1422.0,463.0,1422.0,15.8,2.49,22,23,2025-10-25
2025-10-25,Saturday,False,False,1073,10,2,9,536.5,536.5,0.0,536.5,0.0,0.0,0.0,0,0,2025-10-25
2025-10-26,Sunday,False,False,1127,10,2,9,563.5,563.5,0.0,563.5,0.0,0.0,0.0,0,0,2025-11-01
2025-10-27,Monday,False,False,1212,10,2,9,606.0,606.0,2242.5,606.0,2242.5,24.92,3.93,34,35,2025-11-01
2025-10-28,Tuesday,False,False,1054,10,2,9,527.0,527.0,1696.5,527.0,1696.5,18.85,2.98,26,27,2025-11-01
2025-10-29,Wednesday,False,False,1177,10,2,9,588.5,588.5,1115.5,588.5,1115.5,12.39,1.96,17,18,2025-11-01
2025-10-30,Thursday,False,False,1118,10,2,9,559.0,559.0,1147.5,559.0,1147.5,12.75,2.01,18,19,2025-11-01
2025-10-31,Friday,False,False,1189,10,2,9,594.5,594.5,1748.0,594.5,1748.0,19.42,3.07,27,28,2025-11-01
2025-11-01,Saturday,False,False,1353,10,2,9,676.5,676.5,0.0,676.5,0.0,0.0,0.0,0,0,2025-11-01
2025-11-02,Sunday,False,False,1038,10,2,9,519.0,519.0,0.0,519.0,0.0,0.0,0.0,0,0,2025-11-08
2025-11-03,Monday,False,False,959,10,2,9,479.5,479.5,2351.5,479.5,2351.5,26.13,4.13,36,37,2025-11-08
2025-11-04,Tuesday,False,False,878,10,2,9,439.0,439.0,1437.5,439.0,1437.5,15.97,2.52,22,23,2025-11-08
2025-11-05,Wednesday,False,False,926,10,2,9,463.0,463.0,902.0,463.0,902.0,10.02,1.58,14,15,2025-11-08
2025-11-06,Thursday,False,False,1303,10,2,9,651.5,651.5,1114.5,651.5,1114.5,12.38,1.96,17,18,2025-11-08
2025-11-07,Friday,False,False,1311,10,2,9,655.5,655.5,1962.5,655.5,1962.5,21.81,3.44,30,31,2025-11-08
2025-11-08,Saturday,False,False,1311,10,2,9,655.5,655.5,0.0,655.5,0.0,0.0,0.0,0,0,2025-11-08
2025-10-12,Sunday,False,False,1257,10,2,9,628.5,628.5,0.0,628.5,0.0,0.0,0.0,0,0,2025-10-18
2025-10-13,Monday,False,True,1311,10,2,9,655.5,655.5,1731.0,655.5,0.0,0.0,0.0,0,0,2025-10-18
2025-10-14,Tuesday,False,False,787,10,2,9,393.5,393.5,1677.5,393.5,3408.5,37.87,5.98,52,53,2025-10-18
2025-10-15,Wednesday,False,False,676,10,2,9,338.0,338.0,731.5,338.0,731.5,8.13,1.28,12,13,2025-10-18
2025-10-16,Thursday,False,False,707,10,2,9,353.5,353.5,691.5,353.5,691.5,7.68,1.21,11,12,2025-10-18
2025-10-17,Friday,False,False,1566,10,2,9,783.0,783.0,1919.5,783.0,1919.5,21.33,3.37,29,30,2025-10-18
2025-10-18,Saturday,False,False,1333,10,2,9,666.5,666.5,0.0,666.5,0.0,0.0,0.0,0,0,2025-10-18
2025-11-09,Sunday,False,False,1227,10,2,9,613.5,613.5,0.0,613.5,0.0,0.0,0.0,0,0,2025-11-15
2025-11-10,Monday,False,False,1303,10,2,9,651.5,651.5,2598.0,651.5,2598.0,28.87,4.56,40,41,2025-11-15
2025-11-11,Tuesday,False,False,876,10,2,9,438.0,438.0,1703.0,438.0,1703.0,18.92,2.99,26,27,2025-11-15
2025-11-12,Wednesday,False,False,631,10,2,9,315.5,315.5,753.5,315.5,753.5,8.37,1.32,12,13,2025-11-15
2025-11-13,Thursday,False,False,479,10,2,9,239.5,239.5,555.0,239.5,555.0,6.17,0.97,9,10,2025-11-15
2025-11-14,Friday,False,False,594,10,2,9,297.0,297.0,833.5,297.0,833.5,9.26,1.46,13,14,2025-11-15
2025-11-15,Saturday,False,False,447,10,2,9,223.5,223.5,0.0,223.5,0.0,0.0,0.0,0,0,2025-11-15
